City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
271,San Cosme Y Damian,PY,75.38,clear sky,-27.3167,-56.35,Posada Turística Aguapey
272,Sao Domingos Do Prata,BR,79.86,few clouds,-19.865,-42.9683,Hotel Santa Isabel
281,Kulhudhuffushi,MV,83.12,clear sky,6.6221,73.07,Haajy Guest House 1
283,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Trelew,AR,82.22,broken clouds,-43.249,-65.3051,Hotel Touring Club
288,Olimpia,BR,82.26,few clouds,-20.7372,-48.9147,Hotel Savana
290,Acarau,BR,80.89,broken clouds,-2.8856,-40.12,castelo pizzaria
293,San Pedro,PH,80.31,few clouds,14.35,121.0167,Esquivel's Garden And Resort
297,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
298,San Juan,AR,77.7,clear sky,-31.5375,-68.5364,Hotel Provincial
299,Arlit,NE,89.04,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
302,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
303,Nhulunbuy,AU,77.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
305,Padang,ID,75.25,clear sky,-0.9492,100.3543,Mercure Padang
306,Ilheus,BR,85.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
308,Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,Isangel,VU,80.47,overcast clouds,-19.55,169.2667,Tanna Lodge
318,Bilma,NE,84.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
319,Mana,GF,78.13,light rain,5.6592,-53.7767,LE SAMANA
323,Rock Sound,BS,77.22,clear sky,24.9,-76.2,Pink Corral Bay Property
326,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
328,Port Hedland,AU,78.85,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
330,Miraflores,MX,82.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
335,Coihueco,CL,77.74,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
339,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
341,Alyangula,AU,80.73,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
344,Bengkulu,ID,76.5,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
347,Denham Springs,US,76.95,clear sky,30.4869,-90.9562,"Candlewood Suites Denham Springs, an IHG Hotel"
350,Vung Tau,VN,81.05,overcast clouds,10.346,107.0843,Seaside Resort
359,Bubaque,GW,75.2,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
365,Lamont,US,79.07,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
368,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
369,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
371,Caravelas,BR,82.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
373,Chabahar,IR,79.72,clear sky,25.2919,60.643,هتل گدروشیا
378,Point Pedro,LK,81.23,scattered clouds,9.8167,80.2333,Gtr homes
384,Concepcion Del Oro,MX,75.69,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
391,Boulder City,US,76.44,clear sky,35.9786,-114.8325,Boulder Dam Hotel
392,Teluk Nibung,ID,76.77,overcast clouds,3.001,99.8164,Hotel Assyifa
394,Kandrian,PG,75.52,overcast clouds,-6.2167,149.55,Kandrian Station
395,Risod,IN,86.58,clear sky,19.9667,76.7833,Nikhil vitthal Parbat
396,Portobelo,PA,88.48,scattered clouds,9.55,-79.65,Scuba Portobelo
401,Bajos De Haina,DO,87.73,broken clouds,18.4154,-70.0332,Familia García Santana
403,Bima,ID,75.67,broken clouds,-8.4667,118.7167,Lambitu Hotel
404,Matara,LK,78.01,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
407,Macapa,BR,89.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
408,Santa Luzia,BR,84.34,light rain,-19.7697,-43.8514,Pousada Chao Earth
413,Finschhafen,PG,79.34,very heavy rain,-6.6024,147.8681,Cossam Guest House
414,Kudahuvadhoo,MV,83.48,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
420,Epe,NG,82.76,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
426,Roebourne,AU,83.05,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
428,Harper,LR,80.94,light rain,4.375,-7.7169,Screensaver
429,Celestun,MX,85.21,few clouds,20.8667,-90.4,Posada Lilia
433,Coahuayana,MX,85.24,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
441,Caucaia,BR,84.15,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
442,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
443,Marsh Harbour,BS,79.21,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
449,Bull Savanna,JM,82.81,clear sky,17.8868,-77.5902,Big Red's
454,Indiaroba,BR,82.94,scattered clouds,-11.5192,-37.5117,Pura Vida Bahia
462,Tual,ID,82.22,few clouds,-5.6667,132.75,Grand Vilia Hotel
465,Bonthe,SL,80.67,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
475,Sabang,ID,83.39,overcast clouds,5.8933,95.3214,Hotel Citra
477,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
479,Akyab,MM,78.51,few clouds,20.15,92.9,Hotel Memory
484,Sao Caetano De Odivelas,BR,75.94,overcast clouds,-0.75,-48.02,Hotel do Luttis
