City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Byron Bay,AU,-28.65,153.6167,61.72,79,6,7.05,clear sky
79,Qaqortoq,GL,60.7167,-46.0333,43.92,68,17,5.84,few clouds
80,Tiarei,PF,-17.5333,-149.3333,86.02,78,36,12.66,light rain
81,Ulaangom,MN,49.9811,92.0667,13.78,91,100,4.18,overcast clouds
82,Sibolga,ID,1.7427,98.7792,76.69,85,99,2.95,overcast clouds
83,Maracacume,BR,-2.0428,-45.9592,74.88,96,100,2.39,moderate rain
84,Abashiri,JP,44.0213,144.2697,30.94,87,10,6.6,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,-17.41,95,86,3.42,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,83.16,71,13,7.4,few clouds
87,Nioro,GM,13.35,-15.75,91.65,22,5,14.83,clear sky
88,Plouzane,FR,48.3833,-4.6167,43.12,70,20,11.5,moderate rain
89,Katangli,RU,51.7102,143.2326,6.01,90,21,8.93,few clouds
90,San Cristobal,VE,7.7669,-72.225,84.38,37,95,7.49,overcast clouds
91,Guayaramerin,BO,-10.8368,-65.3614,69.85,78,100,10.36,overcast clouds
92,Halifax,CA,44.6453,-63.5724,53.49,99,100,25.32,mist
93,Kruisfontein,ZA,-34.0033,24.7314,62.89,83,4,4.07,clear sky
94,Northam,GB,51.0333,-4.2167,44.38,68,29,13.69,scattered clouds
95,Tukrah,LY,32.5341,20.5791,61.7,60,0,3.78,clear sky
96,Lakatoro,VU,-16.0999,167.4164,80.08,84,100,5.7,moderate rain
97,Hermanus,ZA,-34.4187,19.2345,62.8,79,7,13.76,clear sky
98,Minab,IR,27.1467,57.0801,75.52,78,0,1.14,clear sky
99,College,US,64.8569,-147.8028,17.92,38,0,12.66,clear sky
100,Kampot,KH,10.6167,104.1833,79.74,82,100,3.87,overcast clouds
101,Deputatskiy,RU,69.3,139.9,-19.17,99,64,2.17,broken clouds
102,Lata,PT,40.1629,-8.3327,47.41,65,0,3.51,clear sky
103,Luderitz,NA,-26.6481,15.1594,65.12,62,0,21.43,clear sky
104,Snasa,NO,64.2457,12.3778,33.21,89,37,4.7,scattered clouds
105,Popondetta,PG,-8.7537,148.2534,72.59,96,100,2.64,overcast clouds
106,Itaueira,BR,-7.6033,-43.0256,88.03,50,100,3.94,overcast clouds
107,Arenapolis,BR,-14.4503,-56.8461,63.54,92,100,4.81,overcast clouds
108,Alofi,NU,-19.0595,-169.9187,76.89,94,100,3.44,overcast clouds
109,Linhares,BR,-19.3911,-40.0722,82.2,69,33,7.85,scattered clouds
110,Manaquiri,BR,-3.3167,-60.35,90.05,78,30,3.4,scattered clouds
111,Praia,CV,14.9215,-23.5087,73.94,73,0,17.27,clear sky
112,Rio Grande,BR,-32.035,-52.0986,71.71,53,7,9.82,clear sky
113,Anchorage,US,61.2181,-149.9003,41.86,67,75,5.75,broken clouds
114,Klaksvik,FO,62.2266,-6.589,36.52,81,99,19.53,overcast clouds
115,Klichka,RU,50.4457,117.996,27.66,54,3,4.65,clear sky
116,Krasni Okny,UA,47.5404,29.46,61.2,56,42,16.8,scattered clouds
117,Sioux Lookout,CA,50.1001,-91.917,39.27,35,75,13.8,broken clouds
118,Butaritari,KI,3.0707,172.7902,82.22,76,100,20.11,light rain
119,Carnarvon,AU,-24.8667,113.6333,73.47,100,9,8.05,clear sky
120,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,81,75,5.75,broken clouds
121,Adrar,MR,20.5022,-10.0711,81.84,9,0,6.33,clear sky
122,Lokosovo,RU,61.1333,74.8167,5.04,99,89,3.65,overcast clouds
123,Tuatapere,NZ,-46.1333,167.6833,44.33,91,17,3.58,few clouds
124,Saint-Philippe,RE,-21.3585,55.7679,76.59,91,100,19.93,moderate rain
125,Hualmay,PE,-11.0964,-77.6139,74.37,72,59,10.25,broken clouds
126,Anadyr,RU,64.75,177.4833,27.1,80,40,6.71,scattered clouds
127,Chapais,CA,49.7834,-74.8492,20.98,87,100,12.48,light snow
128,Meulaboh,ID,4.1363,96.1285,79.59,79,100,0.29,overcast clouds
129,Sonoita,MX,31.85,-112.8333,77.34,18,6,9.57,clear sky
130,Pevek,RU,69.7008,170.3133,-16.51,100,100,6.13,overcast clouds
131,Khatanga,RU,71.9667,102.5,-0.71,98,97,3.67,overcast clouds
132,Helena,US,46.5927,-112.0361,45.18,42,100,12.66,overcast clouds
133,Qaanaaq,GL,77.484,-69.3632,18.64,94,100,4.99,overcast clouds
134,Codrington,AU,-38.2667,141.9667,55.53,73,100,9.31,overcast clouds
135,Kaitangata,NZ,-46.2817,169.8464,42.96,92,64,6.98,broken clouds
136,Shakawe,BW,-18.3667,21.85,75.15,58,85,1.57,overcast clouds
137,Portland,US,45.5234,-122.6762,57.99,63,40,10.0,scattered clouds
138,Quibdo,CO,5.6947,-76.6611,89.94,58,40,5.75,scattered clouds
139,Torbay,CA,47.6666,-52.7314,41.29,79,75,11.5,light rain
140,Cortez,US,37.3489,-108.5859,54.03,27,0,6.91,clear sky
141,Petrozavodsk,RU,61.7849,34.3469,13.48,92,91,0.0,overcast clouds
142,Hainburg,DE,50.0716,8.9524,34.45,97,100,12.08,snow
143,Teya,RU,60.3778,92.6267,5.88,99,100,3.42,overcast clouds
144,Saint Anthony,US,45.0205,-93.218,46.81,48,0,9.22,clear sky
145,Cape Town,ZA,-33.9258,18.4232,63.27,79,0,19.57,clear sky
146,Ancud,CL,-41.8697,-73.8203,68.23,78,8,8.16,clear sky
147,Grand Gaube,MU,-20.0064,57.6608,76.37,90,100,5.99,light rain
148,Kaili,ID,-3.4626,120.2147,66.45,96,96,2.48,overcast clouds
149,Kavieng,PG,-2.5744,150.7967,81.66,75,100,8.34,moderate rain
150,Oistins,BB,13.0667,-59.5333,84.29,58,20,20.71,few clouds
151,Atherton,GB,53.5237,-2.4935,42.35,66,99,1.99,overcast clouds
152,Thompson,CA,55.7435,-97.8558,19.56,73,100,12.66,overcast clouds
153,Nouadhibou,MR,20.931,-17.0347,67.98,73,0,18.41,clear sky
154,Ginda,IN,30.6945,78.4932,58.28,23,0,6.8,clear sky
155,Natal,BR,-5.795,-35.2094,86.65,70,20,10.36,few clouds
156,East London,ZA,-33.0153,27.9116,65.77,89,100,5.53,light rain
157,Sao Filipe,CV,14.8961,-24.4956,72.34,78,8,9.17,clear sky
158,Umkomaas,ZA,-30.2067,30.7978,72.59,86,95,6.2,light rain
159,Georgetown,MY,5.4112,100.3354,80.53,92,20,4.61,few clouds
160,Brzeg Dolny,PL,51.273,16.7082,40.71,52,100,7.0,overcast clouds
161,Yulara,AU,-25.2406,130.9889,60.28,38,100,7.29,overcast clouds
162,Chokurdakh,RU,70.6333,147.9167,-26.19,100,26,3.56,scattered clouds
163,Namibe,AO,-15.1961,12.1522,70.93,82,35,4.68,scattered clouds
164,Sovetskiy,RU,61.3614,63.5842,14.94,94,83,4.38,broken clouds
165,Airai,TL,-8.9266,125.4092,56.98,82,49,1.99,scattered clouds
166,Provideniya,RU,64.3833,-173.3,22.68,92,100,10.54,overcast clouds
167,Batagay-Alyta,RU,67.8006,130.4114,-14.26,99,23,4.72,few clouds
168,Mount Gambier,AU,-37.8333,140.7667,51.21,84,11,6.55,few clouds
169,New Norfolk,AU,-42.7826,147.0587,53.1,73,100,1.01,overcast clouds
170,Viransehir,TR,37.2353,39.7631,57.15,54,31,7.83,scattered clouds
171,Saint George,US,37.1041,-113.5841,71.8,29,0,4.61,clear sky
172,Biryusinsk,RU,55.9634,97.8235,36.32,82,100,8.43,overcast clouds
173,Imperia,IT,43.9667,7.7833,43.99,60,11,4.79,few clouds
174,Saldanha,ZA,-33.0117,17.9442,63.23,80,0,26.78,clear sky
175,Filingue,NE,14.3521,3.3168,90.32,6,100,4.16,overcast clouds
176,Kumluca,TR,36.3703,30.2869,62.64,41,5,7.45,clear sky
177,Manavalakurichi,IN,8.1333,77.3,80.65,81,17,5.79,few clouds
178,Pontianak,ID,-0.0333,109.3333,75.18,94,100,2.3,overcast clouds
179,The Pas,CA,53.8251,-101.2541,32.02,80,100,11.5,light snow
180,Chimore,BO,-16.9833,-65.1333,65.55,54,100,2.62,overcast clouds
181,Joshimath,IN,30.5667,79.5667,57.87,31,0,7.49,clear sky
182,Labuhan,ID,-6.8844,112.2051,77.54,85,99,5.93,overcast clouds
183,Longyearbyen,SJ,78.2186,15.6401,1.24,66,20,11.5,few clouds
184,Biak,ID,-0.9131,122.8766,76.05,79,44,3.69,scattered clouds
185,Pangnirtung,CA,66.1451,-65.7125,21.2,93,75,2.3,broken clouds
186,Balaguer,ES,41.7912,0.8109,44.28,40,0,10.38,clear sky
187,San Patricio,US,28.017,-97.5169,84.29,41,100,17.18,overcast clouds
188,Teahupoo,PF,-17.8333,-149.2667,80.56,81,38,12.73,light rain
189,Shimoda,JP,34.6667,138.95,45.88,59,97,6.11,overcast clouds
190,Norwich,GB,52.6278,1.2983,41.25,76,40,4.61,scattered clouds
191,Tasiilaq,GL,65.6145,-37.6368,35.76,90,100,4.45,overcast clouds
192,Kailua,US,21.4022,-157.7394,78.78,77,30,5.99,scattered clouds
193,Ilulissat,GL,69.2167,-51.1,28.42,74,20,8.05,few clouds
194,Hofn,IS,64.2539,-15.2082,37.53,83,100,1.72,overcast clouds
195,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,58,0,8.95,clear sky
196,Gat,IL,31.61,34.7642,74.39,46,100,1.97,overcast clouds
197,Mount Pleasant,US,32.7941,-79.8626,78.78,29,0,13.8,clear sky
198,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,93,100,19.57,overcast clouds
199,Neftekamsk,RU,56.092,54.2703,29.93,96,100,7.83,light snow
200,Hami,CN,42.8,93.45,51.1,21,7,3.58,clear sky
201,Charlestown,AU,-32.95,151.6667,61.83,72,90,8.01,overcast clouds
202,Faanui,PF,-16.4833,-151.75,81.79,73,100,5.32,light rain
203,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,9.22,broken clouds
204,Hasaki,JP,35.7333,140.8333,37.8,55,63,18.43,broken clouds
205,Yicheng,CN,31.3705,119.8703,43.95,70,100,3.74,overcast clouds
206,La Orilla,MX,17.9833,-102.2333,80.82,54,16,9.8,few clouds
207,Mushie,CD,-3.0167,16.9,74.62,86,100,3.94,overcast clouds
208,Igrim,RU,63.1906,64.4162,13.14,96,97,4.27,overcast clouds
209,Slawno,PL,54.3628,16.6789,33.69,63,100,16.87,overcast clouds
210,Sitka,US,57.0531,-135.33,40.89,75,100,5.75,light rain
211,Maniitsoq,GL,65.4167,-52.9,33.08,86,100,7.2,overcast clouds
212,Dicabisagan,PH,17.0818,122.4157,76.14,85,88,6.04,moderate rain
213,Cidreira,BR,-30.1811,-50.2056,66.87,56,20,8.19,few clouds
214,Quatre Cocos,MU,-20.2078,57.7625,76.08,93,100,18.77,moderate rain
215,Bara,NG,10.3744,10.7288,87.69,9,100,6.13,overcast clouds
216,Touros,BR,-5.1989,-35.4608,81.46,76,100,10.94,overcast clouds
217,Avarua,CK,-21.2078,-159.775,82.45,78,69,2.3,broken clouds
218,Kahului,US,20.8947,-156.47,80.62,67,40,19.57,scattered clouds
219,Rancho Palos Verdes,US,33.7445,-118.387,70.99,77,20,10.36,few clouds
220,Upernavik,GL,72.7868,-56.1549,12.52,93,100,7.87,overcast clouds
221,Kijang,KR,35.2442,129.2139,40.73,55,100,4.41,overcast clouds
222,Lebu,CL,-37.6167,-73.65,60.3,77,0,16.2,clear sky
223,Buala,SB,-8.145,159.5921,76.62,91,100,5.64,moderate rain
224,Pierre,US,44.3683,-100.351,48.06,67,100,5.99,overcast clouds
225,Esperance,AU,-33.8667,121.9,65.32,71,23,15.32,few clouds
226,Iqaluit,CA,63.7506,-68.5145,24.53,92,100,4.0,overcast clouds
227,Lasa,IT,46.6166,10.7002,40.08,96,100,5.44,overcast clouds
228,Shingu,JP,33.7333,135.9833,38.7,70,70,5.19,broken clouds
229,Dudinka,RU,69.4058,86.1778,11.62,95,100,10.42,overcast clouds
230,Shizilu,CN,35.1711,118.8289,39.49,42,75,5.23,broken clouds
231,Lompoc,US,34.6391,-120.4579,71.02,71,0,9.22,clear sky
232,Vardo,NO,70.3705,31.1107,28.71,66,100,22.15,overcast clouds
233,Kakonko,TZ,-3.2828,30.9642,64.02,93,26,3.18,scattered clouds
234,Ribeira Grande,PT,38.5167,-28.7,61.2,82,75,14.97,broken clouds
235,Victor Harbor,AU,-35.5667,138.6167,56.3,75,100,14.54,overcast clouds
236,Yumen,CN,40.2833,97.2,40.6,18,0,6.22,clear sky
237,Turukhansk,RU,65.8167,87.9833,14.74,96,100,6.87,light snow
238,Buta,CD,2.7858,24.73,71.44,91,100,2.86,light rain
239,Salinopolis,BR,-0.6136,-47.3561,75.43,93,100,8.08,overcast clouds
240,Zelenogorsk,RU,56.1147,94.5861,33.62,95,100,5.23,overcast clouds
241,Viedma,AR,-40.8135,-62.9967,73.31,16,100,18.72,overcast clouds
242,Udachnyy,RU,66.4167,112.4,4.51,96,100,5.21,overcast clouds
243,Road Town,VG,18.4167,-64.6167,82.49,65,40,16.11,scattered clouds
244,Atambua,ID,-9.1061,124.8925,71.08,87,6,3.83,clear sky
245,Sadzhavka,UA,48.566,24.7882,48.42,92,100,3.0,overcast clouds
246,Namatanai,PG,-3.6667,152.4333,78.04,87,100,6.42,moderate rain
247,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,10.36,broken clouds
248,Souillac,MU,-20.5167,57.5167,75.58,100,75,12.66,light intensity shower rain
249,Svetlogorsk,BY,52.6333,29.7333,33.69,97,100,13.58,overcast clouds
250,Severo-Kurilsk,RU,50.6789,156.125,26.64,67,99,25.12,overcast clouds
251,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,12.66,clear sky
252,Honiara,SB,-9.4333,159.95,74.53,92,100,3.83,overcast clouds
253,Marawi,PH,7.9986,124.2928,68.76,96,66,1.63,broken clouds
254,Olafsvik,IS,64.8945,-23.7142,41.61,91,100,9.82,overcast clouds
255,Coracora,PE,-15.0333,-73.7833,57.9,67,97,9.66,overcast clouds
256,Constitucion,CL,-35.3333,-72.4167,67.19,53,7,16.42,clear sky
257,Belogorsk,RU,50.9158,128.4611,15.01,94,24,4.05,few clouds
258,Vostok,RU,46.4856,135.8833,9.32,92,9,6.17,clear sky
259,Timra,SE,62.487,17.3257,26.28,86,40,0.0,scattered clouds
260,Salym,RU,60.0625,71.4789,18.16,98,98,3.13,overcast clouds
261,Nagar Karnul,IN,16.4821,78.3247,84.34,52,10,7.4,clear sky
262,Pimentel,PE,-6.8367,-79.9342,80.89,54,0,17.27,clear sky
263,Margate,GB,51.3813,1.3862,40.87,57,37,13.0,scattered clouds
264,Monze,ZM,-16.2833,27.4833,64.33,83,5,4.47,clear sky
265,Walvis Bay,NA,-22.9575,14.5053,61.75,82,0,4.61,clear sky
266,Alnashi,RU,56.1874,52.4792,28.63,96,100,9.08,overcast clouds
267,Istok,XK,42.7808,20.4875,49.35,96,100,1.01,overcast clouds
268,Terrace,CA,54.5163,-128.6035,39.11,93,100,9.22,light rain
269,Arica,CL,-18.475,-70.3042,76.55,60,0,12.66,clear sky
270,La Ronge,CA,55.1001,-105.2842,25.05,68,100,18.41,overcast clouds
271,San Cosme Y Damian,PY,-27.3167,-56.35,75.38,48,0,8.05,clear sky
272,Sao Domingos Do Prata,BR,-19.865,-42.9683,79.86,69,19,3.74,few clouds
273,Den Helder,NL,52.9599,4.7593,39.97,58,100,20.0,overcast clouds
274,Katsuura,JP,35.1333,140.3,44.22,61,64,8.19,broken clouds
275,Leningradskiy,RU,69.3833,178.4167,-0.33,96,100,5.79,overcast clouds
276,Goundam,ML,16.4145,-3.6708,92.82,6,100,8.59,overcast clouds
277,Taltal,CL,-25.4,-70.4833,67.37,66,24,4.79,few clouds
278,Goderich,CA,43.7501,-81.7165,31.91,80,100,19.57,overcast clouds
279,Trogir,HR,43.5125,16.2517,57.79,82,75,4.61,broken clouds
280,Shostka,UA,51.863,33.4698,36.88,95,100,10.65,overcast clouds
281,Kulhudhuffushi,MV,6.6221,73.07,83.12,70,9,5.37,clear sky
282,Qasigiannguit,GL,68.8193,-51.1922,28.65,88,39,2.86,scattered clouds
283,Dingle,PH,10.9995,122.6711,76.33,86,90,10.0,overcast clouds
284,Roma,US,43.2128,-75.4557,41.38,83,100,17.27,overcast clouds
285,Trelew,AR,-43.249,-65.3051,82.22,9,68,18.88,broken clouds
286,Mehamn,NO,71.0357,27.8492,28.31,94,100,10.85,light snow
287,Alekseyevsk,RU,57.8406,108.3492,37.09,91,100,15.3,light rain
288,Olimpia,BR,-20.7372,-48.9147,82.26,59,18,3.53,few clouds
289,Tazovskiy,RU,67.4667,78.7,3.24,98,93,8.55,overcast clouds
290,Acarau,BR,-2.8856,-40.12,80.89,82,76,9.73,broken clouds
291,Bay Roberts,CA,47.5999,-53.2648,42.04,74,100,3.0,light rain
292,Malakal,SS,9.5334,31.6605,95.45,12,0,4.07,clear sky
293,San Pedro,PH,14.35,121.0167,80.31,79,20,4.61,few clouds
294,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,90,100,19.44,overcast clouds
295,Collie,AU,-33.3667,116.15,67.87,78,100,5.17,overcast clouds
296,Hovd,MN,48.0056,91.6419,33.85,29,100,1.61,overcast clouds
297,Bairiki,KI,1.3292,172.9752,80.6,78,20,10.36,few clouds
298,San Juan,AR,-31.5375,-68.5364,77.7,13,0,8.08,clear sky
299,Arlit,NE,18.7369,7.3853,89.04,3,99,6.96,overcast clouds
300,Te Anau,NZ,-45.4167,167.7167,45.61,93,15,0.47,few clouds
301,Glace Bay,CA,46.1969,-59.957,50.9,97,100,4.61,mist
302,Geraldton,AU,-28.7667,114.6,75.61,73,75,14.97,broken clouds
303,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,11,1.14,few clouds
304,Great Falls,US,47.5002,-111.3008,45.66,35,100,13.8,overcast clouds
305,Padang,ID,-0.9492,100.3543,75.25,69,0,3.91,clear sky
306,Ilheus,BR,-14.7889,-39.0494,85.82,74,40,10.36,scattered clouds
307,Hendersonville,US,36.3048,-86.62,56.14,45,80,3.0,broken clouds
308,Sinnamary,GF,5.3833,-52.95,78.03,89,100,9.89,overcast clouds
309,Isangel,VU,-19.55,169.2667,80.47,88,100,8.79,overcast clouds
310,Douentza,ML,14.9951,-2.9517,93.76,4,100,5.5,overcast clouds
311,Sisimiut,GL,66.9395,-53.6735,32.16,89,4,6.44,clear sky
312,Guerrero Negro,MX,27.9769,-114.0611,65.46,54,8,14.54,clear sky
313,Muros,ES,42.7762,-9.0603,50.09,63,1,16.35,clear sky
314,Chicama,PE,-7.8447,-79.1469,68.54,59,62,11.1,broken clouds
315,Faya,SA,18.3851,42.4509,64.92,27,32,7.72,scattered clouds
316,Rindal,NO,63.0565,9.2124,22.33,88,97,6.15,overcast clouds
317,Nishihara,JP,26.1842,127.7558,63.68,83,75,17.27,broken clouds
318,Bilma,NE,18.6853,12.9164,84.78,4,0,5.44,clear sky
319,Mana,GF,5.6592,-53.7767,78.13,90,100,8.63,light rain
320,Ardatov,RU,55.2421,43.097,30.52,97,100,15.28,snow
321,Wawa,NG,9.9022,4.4192,93.7,24,97,3.65,overcast clouds
322,Sao Jose De Piranhas,BR,-7.1206,-38.5019,74.43,92,96,1.14,overcast clouds
